X,Y
-84.79855,-19.48972
-87.76523,-55.602432
-106.65182,-23.565165
-20.97704,-93.909874
-61.03361,19.870358
-60.978622,23.337402
-78.33424,-4.95333
-73.28955,87.91767
-78.18297,-7.0618854
-78.06472,-9.362594
-83.32031,-52.157936
-78.58876,0.33798066
-10.94482,-98.72344
-66.73115,-77.23739
-95.85963,-61.959766
-52.19506,-40.352783
-91.01605,-50.141003
-96.57688,-62.036175
-103.31157,12.383337
-45.959953,75.74919
-99.88778,-62.986885
-54.274162,-36.38225
-43.419857,-10.474918
-61.178944,-16.104326
-36.669323,57.998558
-19.758253,-61.786667
-43.386818,-12.055416
-72.438385,-40.871284
-69.79052,67.378426
-71.297585,-38.60874
-108.27177,-10.394636
-38.459164,-15.11355
-30.943598,-51.41709
-52.228954,75.04266
-65.40246,-27.495579
-64.96733,-36.575413
-47.99254,5.2640333
-69.301155,53.87473
-25.971998,-23.71609
-50.979477,-42.296494
-16.652582,-65.20088
-70.27676,54.69662
-27.562166,63.694317
-50.485565,46.655094
-54.62947,-32.730286
-66.82704,-44.64333
-105.64514,-9.226214
36.66442,-97.40846
-5.508537,-44.48076
63.028873,44.31808
-4.1521277,-27.64735
-25.559685,-6.3640027
-20.09313,-15.261429
30.657534,-10.001504
-8.114391,-74.59047
4.500357,-39.80142
30.03316,-12.329926
66.663956,29.189974
-112.47846,-1.0072536
-5.9736404,-70.42349
-23.84938,44.574043
32.897427,42.635086
58.112885,-83.68555
62.767925,44.229183
67.14037,38.520977
1.0663923,-82.70598
-28.043146,-66.57818
-18.413914,-34.2288
3.8730135,-49.800026
-8.2318735,50.49665
7.5306554,65.49207
2.460052,-58.682518
-111.93045,-2.7295659
3.3965924,-26.454157
9.289197,64.80572
66.603615,39.437622
16.002623,54.03616
-42.97492,-38.671043
-19.005253,50.61386
-2.98863,-26.455513
58.18791,-79.829124
-26.390491,-21.080622
-9.858562,-70.14084
-0.5455678,-29.611395
5.862153,-56.10097
1.3455745,-57.360065
7.58196,-61.673203
9.986928,-56.595493
-87.19898,17.723892
-33.52853,78.78746
39.61238,-92.41012
-89.84584,19.34601
-104.275185,7.605236
-77.13938,-18.842318
-58.261173,4.102302
-85.31256,-37.001152
-95.72385,-13.156385
-87.49408,-19.815819
-85.55294,-36.68974
-85.889915,-34.521465
-107.92578,-17.181454
-94.43388,-6.0165987
-78.80673,65.39954
-49.552658,47.4917
0.46571383,33.800354
-64.5708,-35.708256
-41.758904,-19.13897
-77.748116,59.2753
-69.83135,51.313324
-69.74574,52.10337
-14.810041,66.16173
27.527565,-72.22015
58.482,-80.080765
-54.687214,45.26051
49.83541,-68.2448
2.2286994,53.628338
-19.523052,52.856544
-8.310608,-65.98459
1.3235316,69.99596
10.162816,61.95945
-23.09503,-15.118611
-58.016094,45.340828
-57.322758,43.1397
-45.61808,47.52742
-23.638887,-5.2374983
64.860794,38.935776
-3.0000336,-38.13339
-9.272466,-71.99792
-112.37875,-5.126061
-22.005846,0.7947152
-15.674169,-7.9732866
-23.954874,-18.212833
-21.730234,-16.037569
-52.14453,-19.974329
-8.335445,-3.3262734
-71.26198,52.29049
8.094413,67.55288
2.4878616,47.477936
-27.349474,66.60457
-52.481567,-43.166058
-52.5043,-43.08327
-2.580834,-73.684654
-58.91236,43.85489
-15.323189,-42.986774
-35.29199,-68.330696
-35.804176,43.741737
-15.967141,-53.71062
-2.6536453,48.65884
-60.089725,-8.231329
74.55686,30.631311
-80.23333,61.58667
7.019206,-54.95975
-51.946693,-9.569593
16.228443,-59.61067
-13.883243,-71.933266
-10.651282,87.039116
-35.87094,40.95584
12.66445,-59.52091
-41.317474,-70.08553
7.4435043,-92.00902
-19.8464,51.221176
-4.030765,49.031223
0.99429435,-81.47687
-2.8004255,47.985985
8.924577,-93.047844
-19.577414,45.620167
13.704554,52.355007
12.065318,-48.07968
40.400627,-51.834427
-72.125,-7.984237
-95.57035,-1.0708622
37.49658,-85.07895
-44.58428,78.761024
-76.16863,-7.505563
-45.312748,4.836354
-50.39139,90.38738
-33.417515,84.68282
30.080057,49.49249
-57.30522,21.553898
-45.416836,1.5329537
-80.11942,-0.5331883
55.946125,34.71367
-35.48354,83.95167
1.5532403,30.988565
-6.756344,89.591286
-48.12736,38.230335
-47.550827,41.821743
-43.017677,-31.519245
-45.90539,-28.508041
-45.767097,42.343143
-47.97195,37.991478
-44.463753,-28.245495
-46.594707,41.615585
-57.92222,0.877725
-79.39325,-18.802567
-93.34969,18.123013
-70.53632,56.44402
-82.77059,-20.548668
-53.48043,18.099493
-68.58938,88.59715
-62.630642,-10.338611
-56.221348,15.246912
-101.05531,11.931346
-59.436104,-30.409641
-25.70612,24.42017
-35.671482,30.095566
-29.430159,31.377008
-27.463255,30.45762
-29.027664,33.022728
-10.485512,88.48671
-28.72047,30.719582
-16.486807,93.322876
-17.249348,11.921723
-28.341045,23.044775
50.34228,42.702694
-38.16017,21.346897
-40.54458,28.25485
-37.60626,4.8370795
-103.40397,10.122771
-71.6098,-14.582132
-44.90516,63.761375
-1.35736,10.365261
